CustomerID,SimilarCustomers
C0001,"[('C0137', 0.988), ('C0107', 0.966), ('C0152', 0.955)]"
C0002,"[('C0142', 0.978), ('C0043', 0.977), ('C0097', 0.954)]"
C0003,"[('C0133', 0.914), ('C0052', 0.847), ('C0190', 0.804)]"
C0004,"[('C0113', 0.982), ('C0102', 0.962), ('C0104', 0.952)]"
C0005,"[('C0123', 0.999), ('C0159', 0.996), ('C0178', 0.991)]"
C0006,"[('C0168', 0.977), ('C0158', 0.926), ('C0187', 0.899)]"
C0007,"[('C0140', 0.998), ('C0080', 0.994), ('C0078', 0.992)]"
C0008,"[('C0090', 0.957), ('C0084', 0.949), ('C0139', 0.939)]"
C0009,"[('C0060', 0.972), ('C0014', 0.957), ('C0198', 0.953)]"
C0010,"[('C0199', 0.95), ('C0121', 0.949), ('C0166', 0.91)]"
C0011,"[('C0048', 0.983), ('C0107', 0.983), ('C0001', 0.923)]"
C0012,"[('C0102', 0.984), ('C0153', 0.963), ('C0155', 0.962)]"
C0013,"[('C0099', 0.986), ('C0188', 0.985), ('C0155', 0.983)]"
C0014,"[('C0198', 0.991), ('C0060', 0.98), ('C0128', 0.965)]"
C0015,"[('C0131', 0.985), ('C0058', 0.984), ('C0036', 0.981)]"
C0016,"[('C0183', 0.962), ('C0026', 0.793), ('C0125', 0.782)]"
C0017,"[('C0124', 0.989), ('C0075', 0.975), ('C0162', 0.929)]"
C0018,"[('C0200', 0.833), ('C0138', 0.8), ('C0079', 0.785)]"
C0019,"[('C0172', 0.997), ('C0127', 0.9), ('C0119', 0.891)]"
C0020,"[('C0042', 0.963), ('C0110', 0.959), ('C0078', 0.957)]"
